channel,watch_time_min,stream_time_min,peak_viewers,avg_viewers,followers,followers_gained,views_gained,partnered,mature,language,avg_to_peak_ratio,watch_per_follower,views_per_follower,follower_growth_rate,viewers_per_stream_hr,stickiness,avg_to_peak_ratio_scaled,watch_per_follower_scaled,views_per_follower_scaled,follower_growth_rate_scaled,viewers_per_stream_hr_scaled,stickiness_scaled,engagement_efficiency_score
sips_,325731015,108990,7872,2984,430755,84034,4331397,True,True,English,0.3790650406504065,756.1862659748581,10.055360936030922,0.19508537335608409,1.6427195155518854,1.0015523197764904,0.8244907112801759,0.12013481169205356,0.012083773324446564,0.18278686909212163,0.016514051959642357,0.18850171619254655,0.2240853222568311
ESL_CSGOb,325637220,52530,89949,5114,575769,183662,13742820,True,False,English,0.056854439738073796,565.569212652991,23.868634817088104,0.31898556539167616,5.841233580810965,1.2121766499371163,0.09457320939111141,0.08443565336824416,0.03511490297679534,0.3096802359480661,0.06018627886275275,0.44741089142882773,0.17190019532929957
kyo1984123,325018110,204975,5967,1516,135687,12731,12070678,True,False,Chinese,0.25406401876990115,2395.3518760087554,88.95972348124728,0.09382623243199423,0.4437614343212587,1.045941666739074,0.5413205320053373,0.4271211574138864,0.14364249137802135,0.07908151476057043,0.004042694580114154,0.2430671560094709,0.23971259102456674
midbeast,324433515,118005,16153,2652,330060,143256,10000927,True,False,English,0.16418002847768218,982.9531448827486,30.300330242986124,0.4340301763315761,1.3484174399389857,1.0366968594205974,0.3377024714320663,0.162604184561119,0.045838588941019415,0.42750408901039655,0.013452771986669396,0.23170301096402565,0.20313418614921605
Alexby11,323225055,54810,53526,5331,1448018,1145810,8378248,True,False,Spanish,0.0995964577962112,223.2189482451185,5.786010947377726,0.7912954120736069,5.835796387520525,1.1062073339351977,0.19139853716852165,0.02031958359216907,0.004965406312642979,0.7934001209621953,0.06012972210590846,0.3171485034820692,0.23122697893725108
Tumblurr,322841490,81210,17165,3846,353687,236441,4008897,True,False,Italian,0.22406058840664142,912.7886803868957,11.33458962302827,0.6685035073384094,2.8415219800517177,1.0336429637458864,0.47335247360861293,0.14946363767356824,0.014216655217539453,0.6676418153574096,0.028983790640490135,0.22794902105320153,0.260267898925137
Veritas,320121405,135150,103833,1595,182492,131913,4176079,True,False,English,0.0153612050118941,1754.1667853933322,22.88362777546413,0.722842645157048,0.7081021087680355,1.4850394024055473,0.0005768040870225072,0.30703867966151305,0.033472582330765985,0.7232936754277756,0.006792321170551333,0.782826416028605,0.3090000797843722
daltoosh,319194420,154440,16445,2038,241602,163486,3665065,True,False,English,0.1239282456673761,1321.1580202150644,15.169845448299268,0.6766748619630633,0.7917637917637917,1.014124600729115,0.24651838042981628,0.22594389724666553,0.020611248919389806,0.6760105731701366,0.007662555721655856,0.20395614583892427,0.2301171335544314
ELoTRiX,319051995,56310,31194,5620,895851,318247,5587147,True,True,German,0.18016285183048023,356.14404069426723,6.236692262440964,0.3552454593453599,5.988279168886521,1.0081835840109814,0.373909047074755,0.04521407145594087,0.005716835690536272,0.346816094658444,0.061715821979131634,0.19665317311310546,0.17167084066198554
TSM_Viss,316437645,117795,18844,2668,762778,101135,7091125,True,False,English,0.14158352791339418,414.84894032077483,9.296446672557416,0.13258772539323369,1.3589710938494843,1.006874777942749,0.2865136489767569,0.056208447193201415,0.010818421392125549,0.11877940598580548,0.013562549293848133,0.1950443281168418,0.11348780015976322
Anthony_Kongphan,316366395,163920,49085,1858,462128,44534,6805829,True,False,English,0.037852704492207394,684.5860778831839,14.72715135200637,0.0963672402451269,0.6800878477306003,1.0387539558271224,0.051527763080690764,0.10672537950246265,0.019873136780598943,0.08168390811701527,0.006500921607388422,0.23423168907822417,0.08342379969439669
