channel,watch_time_min,stream_time_min,peak_viewers,avg_viewers,followers,followers_gained,views_gained,partnered,mature,language,avg_to_peak_ratio,watch_per_follower,views_per_follower,follower_growth_rate,viewers_per_stream_hr,stickiness,avg_to_peak_ratio_scaled,watch_per_follower_scaled,views_per_follower_scaled,follower_growth_rate_scaled,viewers_per_stream_hr_scaled,stickiness_scaled,engagement_efficiency_score,cluster
TFBlade,1394312895,141285,35833,9117,1008040,450146,35978104,True,False,English,0.2544302737699885,1383.1920310701955,35.69114717669934,0.4465556922344351,3.871748593268925,1.0824609377033343,0.5421502251748395,0.2375617558610195,0.0548267987456978,0.4403321957179703,0.0397000320808456,0.2879583341481799,0.2670882236214255,1
Sardoche,1361024835,164235,144066,8066,746865,370358,32261961,True,True,French,0.0559882276178973,1822.3170653330924,43.19650940933101,0.4958834595274916,2.946753128139556,1.0274060468845967,0.0926109419018513,0.3198020058748992,0.0673406294389869,0.4908516208170402,0.0300783870870268,0.2202823141758797,0.2034943165492807,1
LCK,1351758525,37140,171861,36030,934688,307853,28970100,True,False,English,0.2096461675423743,1446.213629574789,30.99440668971892,0.3293644510253689,58.206785137318256,1.0101664852974344,0.4406988674310618,0.2493645719450353,0.0469958355699497,0.3203098541967104,0.6048838108790452,0.1990906471516411,0.3102239311955739,1
Yassuo,1347412425,103905,70587,10531,1878416,689957,32362117,True,False,English,0.1491917775227733,717.3131111532269,17.22840787131285,0.3673078806824473,6.08113180308936,1.2313867845771242,0.3037489433243114,0.112854566381682,0.024043528512926,0.3591699193842225,0.0626816592364155,0.471024878056248,0.2222539158159676,1
HasanAbi,1339344945,193560,44649,6543,470123,340810,14154952,True,False,English,0.1465430356782906,2848.92452613465,30.109039549224352,0.724937941772685,2.02820830750155,1.0575475638816096,0.2977486347534589,0.5120671869847706,0.045519646392913,0.7254395901172676,0.0205238405965163,0.2573336619480747,0.3097720934655002,0
BeyondTheSummit,1339097490,505080,116547,2635,923689,114948,42403593,True,False,English,0.0226089045621079,1449.7276572526034,45.90678572549852,0.1244444829374389,0.3130197196483725,1.0061700936323763,0.0169953289125728,0.2500226863594509,0.0718595237842981,0.1104394394743473,0.0026827415728961,0.1941780975467011,0.1076963029417111,1
Dota2RuHub,1330625430,92160,105359,13189,777510,126221,43831479,True,False,Russian,0.125181522224015,1711.393332561639,56.3741675348227,0.1623400342117786,8.586588541666666,1.094716048293085,0.2493574815978343,0.2990279784252693,0.0893119850651665,0.1492504696354763,0.0887429927182942,0.3030228833045002,0.1964522984577568,1
Bugha,1324519320,100470,66311,12982,2942212,2220765,49441744,True,False,English,0.1957744567266366,450.1780701050774,16.804276510326243,0.7547943520045463,7.752762018512989,1.0155008480630945,0.4092746856168026,0.0628249601212582,0.0233363663695687,0.7560172700571406,0.0800696715025055,0.2056478927605167,0.2561951410712987,1
RocketLeague,1322448480,33540,206681,36086,1409120,412101,57189129,True,False,English,0.1745975682331709,938.4924491881458,40.58499560009084,0.2924527364596344,64.55456171735241,1.0926396561900378,0.3613017713080664,0.1542774929712104,0.0629864036669205,0.2825064282236001,0.6709122997264191,0.3004704860270483,0.3054091469872108,1
csgomc_ru,1308967860,77955,364816,17020,492954,447601,42952835,True,False,Russian,0.0466536555414236,2655.354982412152,87.133556072169,0.907997500781006,13.099865306907832,0.9865644262361432,0.0714649351845958,0.4758150801160916,0.1405976883336791,0.9129214930594148,0.1356893275178146,0.1700779037483662,0.3177610713266603,0
Clix,1256647110,89760,81926,12996,2035180,1687923,33286370,True,False,English,0.1586309596465102,617.4623915329356,16.35549189752258,0.8293728318871058,8.68716577540107,1.0772606349053513,0.3251319276709642,0.0941543158723422,0.0225880993987939,0.8323974132338176,0.0897891799418364,0.2815658812564465,0.2742711362290335,1
